Year,Month,Month_Date,MCD_Drug_Cause,Deaths,County,synthetic
2024,2,2024-02-01,Synthetic Opioids (Fentanyl) T40.4,27,"Jackson County, MO",True
2024,3,2024-03-01,Synthetic Opioids (Fentanyl) T40.4,17,"Jackson County, MO",True
2024,4,2024-04-01,Synthetic Opioids (Fentanyl) T40.4,25,"Jackson County, MO",True
2024,5,2024-05-01,Synthetic Opioids (Fentanyl) T40.4,23,"Jackson County, MO",True
2024,6,2024-06-01,Synthetic Opioids (Fentanyl) T40.4,22,"Jackson County, MO",True
2024,7,2024-07-01,Synthetic Opioids (Fentanyl) T40.4,23,"Jackson County, MO",True
2024,8,2024-08-01,Synthetic Opioids (Fentanyl) T40.4,18,"Jackson County, MO",True
2024,9,2024-09-01,Synthetic Opioids (Fentanyl) T40.4,22,"Jackson County, MO",True
2024,10,2024-10-01,Synthetic Opioids (Fentanyl) T40.4,24,"Jackson County, MO",True
2024,11,2024-11-01,Synthetic Opioids (Fentanyl) T40.4,26,"Jackson County, MO",True
2024,12,2024-12-01,Synthetic Opioids (Fentanyl) T40.4,21,"Jackson County, MO",True
2018,1,2018-01-01,Heroin T40.1,5,"Jackson County, MO",True
2018,2,2018-02-01,Heroin T40.1,5,"Jackson County, MO",True
2018,3,2018-03-01,Heroin T40.1,7,"Jackson County, MO",True
2018,4,2018-04-01,Heroin T40.1,6,"Jackson County, MO",True
2018,5,2018-05-01,Heroin T40.1,5,"Jackson County, MO",True
2018,6,2018-06-01,Heroin T40.1,7,"Jackson County, MO",True
2018,7,2018-07-01,Heroin T40.1,6,"Jackson County, MO",True
2018,8,2018-08-01,Heroin T40.1,7,"Jackson County, MO",True
2018,9,2018-09-01,Heroin T40.1,5,"Jackson County, MO",True
2018,10,2018-10-01,Heroin T40.1,6,"Jackson County, MO",True
2018,11,2018-11-01,Heroin T40.1,6,"Jackson County, MO",True
2018,12,2018-12-01,Heroin T40.1,4,"Jackson County, MO",True
2019,1,2019-01-01,Heroin T40.1,6,"Jackson County, MO",True
2019,2,2019-02-01,Heroin T40.1,6,"Jackson County, MO",True
2019,3,2019-03-01,Heroin T40.1,6,"Jackson County, MO",True
2019,4,2019-04-01,Heroin T40.1,6,"Jackson County, MO",True
2019,5,2019-05-01,Heroin T40.1,4,"Jackson County, MO",True
2019,6,2019-06-01,Heroin T40.1,5,"Jackson County, MO",True
2019,7,2019-07-01,Heroin T40.1,5,"Jackson County, MO",True
2019,8,2019-08-01,Heroin T40.1,5,"Jackson County, MO",True
2019,9,2019-09-01,Heroin T40.1,5,"Jackson County, MO",True
2019,10,2019-10-01,Heroin T40.1,6,"Jackson County, MO",True
2019,11,2019-11-01,Heroin T40.1,8,"Jackson County, MO",True
2019,12,2019-12-01,Heroin T40.1,5,"Jackson County, MO",True
2020,1,2020-01-01,Heroin T40.1,5,"Jackson County, MO",True
2020,2,2020-02-01,Heroin T40.1,5,"Jackson County, MO",True
2020,3,2020-03-01,Heroin T40.1,3,"Jackson County, MO",True
2020,4,2020-04-01,Heroin T40.1,5,"Jackson County, MO",True
2020,5,2020-05-01,Heroin T40.1,5,"Jackson County, MO",True
2020,6,2020-06-01,Heroin T40.1,7,"Jackson County, MO",True
2020,7,2020-07-01,Heroin T40.1,4,"Jackson County, MO",True
2020,8,2020-08-01,Heroin T40.1,5,"Jackson County, MO",True
2020,9,2020-09-01,Heroin T40.1,4,"Jackson County, MO",True
2020,10,2020-10-01,Heroin T40.1,2,"Jackson County, MO",True
2020,11,2020-11-01,Heroin T40.1,5,"Jackson County, MO",True
2020,12,2020-12-01,Heroin T40.1,4,"Jackson County, MO",True
2021,1,2021-01-01,Heroin T40.1,4,"Jackson County, MO",True
2021,2,2021-02-01,Heroin T40.1,2,"Jackson County, MO",True
2021,3,2021-03-01,Heroin T40.1,5,"Jackson County, MO",True
2021,4,2021-04-01,Heroin T40.1,1,"Jackson County, MO",True
2021,5,2021-05-01,Heroin T40.1,3,"Jackson County, MO",True
2021,6,2021-06-01,Heroin T40.1,5,"Jackson County, MO",True
2021,7,2021-07-01,Heroin T40.1,1,"Jackson County, MO",True
2021,8,2021-08-01,Heroin T40.1,1,"Jackson County, MO",True
2021,9,2021-09-01,Heroin T40.1,2,"Jackson County, MO",True
2021,10,2021-10-01,Heroin T40.1,1,"Jackson County, MO",True
2021,12,2021-12-01,Heroin T40.1,1,"Jackson County, MO",True
2022,2,2022-02-01,Heroin T40.1,1,"Jackson County, MO",True
2022,4,2022-04-01,Heroin T40.1,2,"Jackson County, MO",True
2022,7,2022-07-01,Heroin T40.1,1,"Jackson County, MO",True
2022,10,2022-10-01,Heroin T40.1,1,"Jackson County, MO",True
2018,1,2018-01-01,Cocaine T40.5,3,"Jackson County, MO",True
2018,2,2018-02-01,Cocaine T40.5,2,"Jackson County, MO",True
2018,3,2018-03-01,Cocaine T40.5,2,"Jackson County, MO",True
2018,4,2018-04-01,Cocaine T40.5,2,"Jackson County, MO",True
2018,5,2018-05-01,Cocaine T40.5,3,"Jackson County, MO",True
2018,6,2018-06-01,Cocaine T40.5,4,"Jackson County, MO",True
2018,7,2018-07-01,Cocaine T40.5,4,"Jackson County, MO",True
2018,8,2018-08-01,Cocaine T40.5,4,"Jackson County, MO",True
2018,9,2018-09-01,Cocaine T40.5,4,"Jackson County, MO",True
2018,10,2018-10-01,Cocaine T40.5,5,"Jackson County, MO",True
2018,11,2018-11-01,Cocaine T40.5,4,"Jackson County, MO",True
2018,12,2018-12-01,Cocaine T40.5,7,"Jackson County, MO",True
2019,1,2019-01-01,Cocaine T40.5,5,"Jackson County, MO",True
2019,2,2019-02-01,Cocaine T40.5,3,"Jackson County, MO",True
2019,3,2019-03-01,Cocaine T40.5,3,"Jackson County, MO",True
2019,4,2019-04-01,Cocaine T40.5,5,"Jackson County, MO",True
2019,5,2019-05-01,Cocaine T40.5,4,"Jackson County, MO",True
2019,6,2019-06-01,Cocaine T40.5,5,"Jackson County, MO",True
2019,7,2019-07-01,Cocaine T40.5,5,"Jackson County, MO",True
2019,8,2019-08-01,Cocaine T40.5,5,"Jackson County, MO",True
2019,9,2019-09-01,Cocaine T40.5,4,"Jackson County, MO",True
2019,10,2019-10-01,Cocaine T40.5,3,"Jackson County, MO",True
2019,11,2019-11-01,Cocaine T40.5,4,"Jackson County, MO",True
2019,12,2019-12-01,Cocaine T40.5,6,"Jackson County, MO",True
2020,1,2020-01-01,Cocaine T40.5,5,"Jackson County, MO",True
2020,2,2020-02-01,Cocaine T40.5,4,"Jackson County, MO",True
2020,3,2020-03-01,Cocaine T40.5,5,"Jackson County, MO",True
2020,4,2020-04-01,Cocaine T40.5,6,"Jackson County, MO",True
2020,5,2020-05-01,Cocaine T40.5,4,"Jackson County, MO",True
2020,6,2020-06-01,Cocaine T40.5,6,"Jackson County, MO",True
2020,7,2020-07-01,Cocaine T40.5,5,"Jackson County, MO",True
2020,8,2020-08-01,Cocaine T40.5,4,"Jackson County, MO",True
2020,9,2020-09-01,Cocaine T40.5,6,"Jackson County, MO",True
2020,10,2020-10-01,Cocaine T40.5,6,"Jackson County, MO",True
2020,11,2020-11-01,Cocaine T40.5,7,"Jackson County, MO",True
2020,12,2020-12-01,Cocaine T40.5,7,"Jackson County, MO",True
2021,1,2021-01-01,Cocaine T40.5,4,"Jackson County, MO",True
2021,2,2021-02-01,Cocaine T40.5,5,"Jackson County, MO",True
2021,3,2021-03-01,Cocaine T40.5,6,"Jackson County, MO",True
2021,4,2021-04-01,Cocaine T40.5,6,"Jackson County, MO",True
2021,5,2021-05-01,Cocaine T40.5,6,"Jackson County, MO",True
2021,6,2021-06-01,Cocaine T40.5,10,"Jackson County, MO",True
2021,7,2021-07-01,Cocaine T40.5,6,"Jackson County, MO",True
2021,8,2021-08-01,Cocaine T40.5,7,"Jackson County, MO",True
2021,9,2021-09-01,Cocaine T40.5,7,"Jackson County, MO",True
2021,10,2021-10-01,Cocaine T40.5,7,"Jackson County, MO",True
2021,11,2021-11-01,Cocaine T40.5,6,"Jackson County, MO",True
2021,12,2021-12-01,Cocaine T40.5,7,"Jackson County, MO",True
2022,1,2022-01-01,Cocaine T40.5,5,"Jackson County, MO",True
2022,2,2022-02-01,Cocaine T40.5,6,"Jackson County, MO",True
2022,3,2022-03-01,Cocaine T40.5,6,"Jackson County, MO",True
2022,4,2022-04-01,Cocaine T40.5,6,"Jackson County, MO",True
2022,5,2022-05-01,Cocaine T40.5,8,"Jackson County, MO",True
2022,6,2022-06-01,Cocaine T40.5,4,"Jackson County, MO",True
2022,7,2022-07-01,Cocaine T40.5,7,"Jackson County, MO",True
2022,8,2022-08-01,Cocaine T40.5,5,"Jackson County, MO",True
2022,9,2022-09-01,Cocaine T40.5,6,"Jackson County, MO",True
2022,10,2022-10-01,Cocaine T40.5,7,"Jackson County, MO",True
2022,11,2022-11-01,Cocaine T40.5,6,"Jackson County, MO",True
2022,12,2022-12-01,Cocaine T40.5,5,"Jackson County, MO",True
2023,1,2023-01-01,Cocaine T40.5,5,"Jackson County, MO",True
2023,2,2023-02-01,Cocaine T40.5,7,"Jackson County, MO",True
2023,3,2023-03-01,Cocaine T40.5,5,"Jackson County, MO",True
2023,4,2023-04-01,Cocaine T40.5,6,"Jackson County, MO",True
2023,5,2023-05-01,Cocaine T40.5,6,"Jackson County, MO",True
2023,6,2023-06-01,Cocaine T40.5,5,"Jackson County, MO",True
2023,7,2023-07-01,Cocaine T40.5,8,"Jackson County, MO",True
2023,8,2023-08-01,Cocaine T40.5,7,"Jackson County, MO",True
2023,9,2023-09-01,Cocaine T40.5,4,"Jackson County, MO",True
2023,10,2023-10-01,Cocaine T40.5,6,"Jackson County, MO",True
2023,11,2023-11-01,Cocaine T40.5,5,"Jackson County, MO",True
2023,12,2023-12-01,Cocaine T40.5,7,"Jackson County, MO",True
2024,1,2024-01-01,Cocaine T40.5,5,"Jackson County, MO",True
2024,2,2024-02-01,Cocaine T40.5,6,"Jackson County, MO",True
2024,3,2024-03-01,Cocaine T40.5,7,"Jackson County, MO",True
2024,4,2024-04-01,Cocaine T40.5,7,"Jackson County, MO",True
2024,5,2024-05-01,Cocaine T40.5,5,"Jackson County, MO",True
2024,6,2024-06-01,Cocaine T40.5,6,"Jackson County, MO",True
2024,7,2024-07-01,Cocaine T40.5,6,"Jackson County, MO",True
2024,8,2024-08-01,Cocaine T40.5,6,"Jackson County, MO",True
2024,9,2024-09-01,Cocaine T40.5,8,"Jackson County, MO",True
2024,10,2024-10-01,Cocaine T40.5,7,"Jackson County, MO",True
2024,11,2024-11-01,Cocaine T40.5,5,"Jackson County, MO",True
2024,12,2024-12-01,Cocaine T40.5,7,"Jackson County, MO",True
2018,1,2018-01-01,Psychostimulants (Meth) T43.6,4,"Jackson County, MO",True
2018,2,2018-02-01,Psychostimulants (Meth) T43.6,3,"Jackson County, MO",True
2018,3,2018-03-01,Psychostimulants (Meth) T43.6,1,"Jackson County, MO",True
2018,4,2018-04-01,Psychostimulants (Meth) T43.6,2,"Jackson County, MO",True
2018,5,2018-05-01,Psychostimulants (Meth) T43.6,4,"Jackson County, MO",True
2018,6,2018-06-01,Psychostimulants (Meth) T43.6,2,"Jackson County, MO",True
2018,7,2018-07-01,Psychostimulants (Meth) T43.6,3,"Jackson County, MO",True
2018,8,2018-08-01,Psychostimulants (Meth) T43.6,3,"Jackson County, MO",True
2018,9,2018-09-01,Psychostimulants (Meth) T43.6,2,"Jackson County, MO",True
2018,10,2018-10-01,Psychostimulants (Meth) T43.6,3,"Jackson County, MO",True
2018,12,2018-12-01,Psychostimulants (Meth) T43.6,2,"Jackson County, MO",True
2019,1,2019-01-01,Psychostimulants (Meth) T43.6,3,"Jackson County, MO",True
2019,2,2019-02-01,Psychostimulants (Meth) T43.6,2,"Jackson County, MO",True
2019,3,2019-03-01,Psychostimulants (Meth) T43.6,5,"Jackson County, MO",True
2019,4,2019-04-01,Psychostimulants (Meth) T43.6,2,"Jackson County, MO",True
2019,5,2019-05-01,Psychostimulants (Meth) T43.6,3,"Jackson County, MO",True
2019,6,2019-06-01,Psychostimulants (Meth) T43.6,4,"Jackson County, MO",True
2019,7,2019-07-01,Psychostimulants (Meth) T43.6,5,"Jackson County, MO",True
2019,8,2019-08-01,Psychostimulants (Meth) T43.6,3,"Jackson County, MO",True
2019,9,2019-09-01,Psychostimulants (Meth) T43.6,5,"Jackson County, MO",True
2019,10,2019-10-01,Psychostimulants (Meth) T43.6,4,"Jackson County, MO",True
2019,11,2019-11-01,Psychostimulants (Meth) T43.6,4,"Jackson County, MO",True
2019,12,2019-12-01,Psychostimulants (Meth) T43.6,5,"Jackson County, MO",True
2020,1,2020-01-01,Psychostimulants (Meth) T43.6,5,"Jackson County, MO",True
2020,2,2020-02-01,Psychostimulants (Meth) T43.6,4,"Jackson County, MO",True
2020,3,2020-03-01,Psychostimulants (Meth) T43.6,5,"Jackson County, MO",True
2020,4,2020-04-01,Psychostimulants (Meth) T43.6,5,"Jackson County, MO",True
2020,5,2020-05-01,Psychostimulants (Meth) T43.6,5,"Jackson County, MO",True
2020,6,2020-06-01,Psychostimulants (Meth) T43.6,6,"Jackson County, MO",True
2020,7,2020-07-01,Psychostimulants (Meth) T43.6,7,"Jackson County, MO",True
2020,8,2020-08-01,Psychostimulants (Meth) T43.6,4,"Jackson County, MO",True
2020,9,2020-09-01,Psychostimulants (Meth) T43.6,7,"Jackson County, MO",True
2020,10,2020-10-01,Psychostimulants (Meth) T43.6,4,"Jackson County, MO",True
2020,11,2020-11-01,Psychostimulants (Meth) T43.6,5,"Jackson County, MO",True
2020,12,2020-12-01,Psychostimulants (Meth) T43.6,6,"Jackson County, MO",True
2021,1,2021-01-01,Psychostimulants (Meth) T43.6,6,"Jackson County, MO",True
2021,2,2021-02-01,Psychostimulants (Meth) T43.6,5,"Jackson County, MO",True
2021,3,2021-03-01,Psychostimulants (Meth) T43.6,6,"Jackson County, MO",True
2021,4,2021-04-01,Psychostimulants (Meth) T43.6,6,"Jackson County, MO",True
2021,5,2021-05-01,Psychostimulants (Meth) T43.6,6,"Jackson County, MO",True
2021,6,2021-06-01,Psychostimulants (Meth) T43.6,7,"Jackson County, MO",True
2021,7,2021-07-01,Psychostimulants (Meth) T43.6,7,"Jackson County, MO",True
2021,8,2021-08-01,Psychostimulants (Meth) T43.6,6,"Jackson County, MO",True
2021,9,2021-09-01,Psychostimulants (Meth) T43.6,7,"Jackson County, MO",True
2021,10,2021-10-01,Psychostimulants (Meth) T43.6,7,"Jackson County, MO",True
2021,11,2021-11-01,Psychostimulants (Meth) T43.6,7,"Jackson County, MO",True
2021,12,2021-12-01,Psychostimulants (Meth) T43.6,7,"Jackson County, MO",True
2022,1,2022-01-01,Psychostimulants (Meth) T43.6,6,"Jackson County, MO",True
2022,2,2022-02-01,Psychostimulants (Meth) T43.6,6,"Jackson County, MO",True
2022,3,2022-03-01,Psychostimulants (Meth) T43.6,8,"Jackson County, MO",True
2022,4,2022-04-01,Psychostimulants (Meth) T43.6,8,"Jackson County, MO",True
2022,5,2022-05-01,Psychostimulants (Meth) T43.6,7,"Jackson County, MO",True
2022,6,2022-06-01,Psychostimulants (Meth) T43.6,7,"Jackson County, MO",True
2022,7,2022-07-01,Psychostimulants (Meth) T43.6,8,"Jackson County, MO",True
2022,8,2022-08-01,Psychostimulants (Meth) T43.6,7,"Jackson County, MO",True
2022,9,2022-09-01,Psychostimulants (Meth) T43.6,8,"Jackson County, MO",True
2022,10,2022-10-01,Psychostimulants (Meth) T43.6,7,"Jackson County, MO",True
2022,11,2022-11-01,Psychostimulants (Meth) T43.6,7,"Jackson County, MO",True
2022,12,2022-12-01,Psychostimulants (Meth) T43.6,9,"Jackson County, MO",True
2023,1,2023-01-01,Psychostimulants (Meth) T43.6,8,"Jackson County, MO",True
2023,2,2023-02-01,Psychostimulants (Meth) T43.6,9,"Jackson County, MO",True
2023,3,2023-03-01,Psychostimulants (Meth) T43.6,9,"Jackson County, MO",True
2023,4,2023-04-01,Psychostimulants (Meth) T43.6,8,"Jackson County, MO",True
2023,5,2023-05-01,Psychostimulants (Meth) T43.6,9,"Jackson County, MO",True
2023,6,2023-06-01,Psychostimulants (Meth) T43.6,8,"Jackson County, MO",True
2023,7,2023-07-01,Psychostimulants (Meth) T43.6,8,"Jackson County, MO",True
2023,8,2023-08-01,Psychostimulants (Meth) T43.6,8,"Jackson County, MO",True
2023,9,2023-09-01,Psychostimulants (Meth) T43.6,8,"Jackson County, MO",True
2023,10,2023-10-01,Psychostimulants (Meth) T43.6,9,"Jackson County, MO",True
2023,11,2023-11-01,Psychostimulants (Meth) T43.6,8,"Jackson County, MO",True
2023,12,2023-12-01,Psychostimulants (Meth) T43.6,10,"Jackson County, MO",True
2024,1,2024-01-01,Psychostimulants (Meth) T43.6,8,"Jackson County, MO",True
2024,2,2024-02-01,Psychostimulants (Meth) T43.6,7,"Jackson County, MO",True
2024,3,2024-03-01,Psychostimulants (Meth) T43.6,10,"Jackson County, MO",True
2024,4,2024-04-01,Psychostimulants (Meth) T43.6,9,"Jackson County, MO",True
2024,5,2024-05-01,Psychostimulants (Meth) T43.6,9,"Jackson County, MO",True
2024,6,2024-06-01,Psychostimulants (Meth) T43.6,9,"Jackson County, MO",True
2024,7,2024-07-01,Psychostimulants (Meth) T43.6,9,"Jackson County, MO",True
2024,8,2024-08-01,Psychostimulants (Meth) T43.6,8,"Jackson County, MO",True
2024,9,2024-09-01,Psychostimulants (Meth) T43.6,9,"Jackson County, MO",True
2024,10,2024-10-01,Psychostimulants (Meth) T43.6,8,"Jackson County, MO",True
2024,11,2024-11-01,Psychostimulants (Meth) T43.6,10,"Jackson County, MO",True
2024,12,2024-12-01,Psychostimulants (Meth) T43.6,9,"Jackson County, MO",True
2018,1,2018-01-01,Other Opioids T40.2,3,"Jackson County, MO",True
2018,2,2018-02-01,Other Opioids T40.2,4,"Jackson County, MO",True
2018,3,2018-03-01,Other Opioids T40.2,4,"Jackson County, MO",True
2018,4,2018-04-01,Other Opioids T40.2,4,"Jackson County, MO",True
2018,5,2018-05-01,Other Opioids T40.2,3,"Jackson County, MO",True
2018,6,2018-06-01,Other Opioids T40.2,4,"Jackson County, MO",True
2018,7,2018-07-01,Other Opioids T40.2,4,"Jackson County, MO",True
2018,8,2018-08-01,Other Opioids T40.2,4,"Jackson County, MO",True
2018,9,2018-09-01,Other Opioids T40.2,4,"Jackson County, MO",True
2018,10,2018-10-01,Other Opioids T40.2,4,"Jackson County, MO",True
2018,11,2018-11-01,Other Opioids T40.2,3,"Jackson County, MO",True
2018,12,2018-12-01,Other Opioids T40.2,3,"Jackson County, MO",True
2019,1,2019-01-01,Other Opioids T40.2,4,"Jackson County, MO",True
2019,2,2019-02-01,Other Opioids T40.2,4,"Jackson County, MO",True
2019,3,2019-03-01,Other Opioids T40.2,4,"Jackson County, MO",True
2019,4,2019-04-01,Other Opioids T40.2,5,"Jackson County, MO",True
2019,5,2019-05-01,Other Opioids T40.2,5,"Jackson County, MO",True
2019,6,2019-06-01,Other Opioids T40.2,4,"Jackson County, MO",True
2019,7,2019-07-01,Other Opioids T40.2,4,"Jackson County, MO",True
2019,8,2019-08-01,Other Opioids T40.2,3,"Jackson County, MO",True
2019,9,2019-09-01,Other Opioids T40.2,4,"Jackson County, MO",True
2019,10,2019-10-01,Other Opioids T40.2,4,"Jackson County, MO",True
2019,11,2019-11-01,Other Opioids T40.2,4,"Jackson County, MO",True
2019,12,2019-12-01,Other Opioids T40.2,3,"Jackson County, MO",True
2020,1,2020-01-01,Other Opioids T40.2,5,"Jackson County, MO",True
2020,2,2020-02-01,Other Opioids T40.2,5,"Jackson County, MO",True
2020,3,2020-03-01,Other Opioids T40.2,4,"Jackson County, MO",True
2020,4,2020-04-01,Other Opioids T40.2,4,"Jackson County, MO",True
2020,5,2020-05-01,Other Opioids T40.2,5,"Jackson County, MO",True
2020,6,2020-06-01,Other Opioids T40.2,4,"Jackson County, MO",True
2020,7,2020-07-01,Other Opioids T40.2,4,"Jackson County, MO",True
2020,8,2020-08-01,Other Opioids T40.2,4,"Jackson County, MO",True
2020,9,2020-09-01,Other Opioids T40.2,4,"Jackson County, MO",True
2020,10,2020-10-01,Other Opioids T40.2,3,"Jackson County, MO",True
2020,11,2020-11-01,Other Opioids T40.2,4,"Jackson County, MO",True
2020,12,2020-12-01,Other Opioids T40.2,4,"Jackson County, MO",True
2021,1,2021-01-01,Other Opioids T40.2,5,"Jackson County, MO",True
2021,2,2021-02-01,Other Opioids T40.2,4,"Jackson County, MO",True
2021,3,2021-03-01,Other Opioids T40.2,5,"Jackson County, MO",True
2021,4,2021-04-01,Other Opioids T40.2,3,"Jackson County, MO",True
2021,5,2021-05-01,Other Opioids T40.2,4,"Jackson County, MO",True
